Entry	Entry name	Protein names	Gene names	Organism	EC number	Mass	Cross-reference (PDB)	Gene ID
P37811	ATPD_BACSU	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	atpH BSU36840	Bacillus subtilis (strain 168)		19,982		BSU36840
O31917	LIGB_BACSU	SPbeta prophage-derived DNA ligase-like protein LigB	ligB yoqV BSU20500	Bacillus subtilis (strain 168)		31,027		BSU20500
P29726	PURA_BACSU	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA BSU40420	Bacillus subtilis (strain 168)	6.3.4.4	47,910		BSU40420
O34324	DLDH3_BACSU	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of acetoin cleaving system)	acoL yfjH BSU08090	Bacillus subtilis (strain 168)	1.8.1.4	48,853		BSU08090
Q05873	SYV_BACSU	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	valS BSU28090	Bacillus subtilis (strain 168)	6.1.1.9	101,745		BSU28090
P21656	SYW_BACSU	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS BSU11420	Bacillus subtilis (strain 168)	6.1.1.2	37,197	3PRH;	BSU11420
P12045	PURK_BACSU	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK BSU06430	Bacillus subtilis (strain 168)	6.3.4.18	42,320		BSU06430
P37808	ATPA_BACSU	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha) (Vegetative protein 100) (VEG100)	atpA BSU36830	Bacillus subtilis (strain 168)	7.1.2.2	54,598		BSU36830
P56849	RL331_BACSU	50S ribosomal protein L33 1	rpmGA rpmG1 BSU24900	Bacillus subtilis (strain 168)		5,901	3J9W;5NJT;6HA1;6HA8;6HTQ;6TNN;6TPQ;7AQC;7AQD;7AS8;7AS9;7O5B;7OPE;7QV1;7QV2;7QV3;	BSU24900
P23971	MENE_BACSU	2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase)	menE BSU30790	Bacillus subtilis (strain 168)	6.2.1.26	54,190	5BUQ;5BUR;5BUS;5GTD;5X8F;5X8G;	BSU30790
O34805	YVRC_BACSU	Uncharacterized ABC transporter substrate-binding lipoprotein YvrC	yvrC BSU33180	Bacillus subtilis (strain 168)		34,239		BSU33180
P12040	PUR3_BACSU	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	purN BSU06510	Bacillus subtilis (strain 168)	2.1.2.2	21,606		BSU06510
O34389	MAO3_BACSU	NAD-dependent malic enzyme 3 (NAD-ME 3) (EC 1.1.1.38) (Malate dehydrogenase MalS)	malS BSU29880	Bacillus subtilis (strain 168)	1.1.1.38	62,149		BSU29880
P32397	CGOX_BACSU	Coproporphyrinogen III oxidase (EC 1.3.3.15)	cgoX hemG hemY BSU10140	Bacillus subtilis (strain 168)	1.3.3.15	51,203	3I6D;	BSU10140
P18157	GLPK_BACSU	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK BSU09290	Bacillus subtilis (strain 168)	2.7.1.30	55,080		BSU09290
O31663	MTNK_BACSU	Methylthioribose kinase (MTR kinase) (EC 2.7.1.100)	mtnK ykrT BSU13560	Bacillus subtilis (strain 168)	2.7.1.100	45,085	2OLC;2PU8;2PUI;2PUL;2PUN;2PUP;	BSU13560
P26902	DPPA_BACSU	D-aminopeptidase (EC 3.4.11.-)	dppA dciAA BSU12920	Bacillus subtilis (strain 168)	3.4.11.-	30,159	1HI9;	BSU12920
Q45460	OPUBA_BACSU	Choline transport ATP-binding protein OpuBA	opuBA proV BSU33730	Bacillus subtilis (strain 168)		43,075		BSU33730
O34610	ZNUB_BACSU	High-affinity zinc uptake system membrane protein ZnuB	znuB adcB yceA BSU02870	Bacillus subtilis (strain 168)		30,436		BSU02870
O06478	ALDH5_BACSU	Benzaldehyde dehydrogenase YfmT (EC 1.2.1.28) (Vanillin dehydrogenase) (EC 1.2.1.67)	yfmT BSU07350	Bacillus subtilis (strain 168)	1.2.1.28; 1.2.1.67	53,321		BSU07350
P37469	DNAC_BACSU	Replicative DNA helicase (EC 3.6.4.12)	dnaC BSU40440	Bacillus subtilis (strain 168)	3.6.4.12	50,576		BSU40440
O31463	HMT_BACSU	Homocysteine S-methyltransferase YbgG (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase)	ybgG BSU02410	Bacillus subtilis (strain 168)	2.1.1.10	34,736		BSU02410
P39643	BACF_BACSU	Transaminase BacF (EC 2.6.1.-) (Transaminase A)	bacF ywfG BSU37690 ipa-85d	Bacillus subtilis (strain 168)	2.6.1.-	44,703	6L1L;6L1N;6L1O;	BSU37690
P94358	ALDY_BACSU	Putative aldehyde dehydrogenase AldY (EC 1.2.1.3)	aldY yxkE BSU38830	Bacillus subtilis (strain 168)	1.2.1.3	52,821	4DNG;	BSU38830
P19465	GCH1_BACSU	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	folE mtrA BSU22780	Bacillus subtilis (strain 168)	3.5.4.16	21,219		BSU22780
P24009	COXX2_BACSU	Protoheme IX farnesyltransferase 2 (EC 2.5.1.141) (Heme B farnesyltransferase 2) (Heme O synthase 2)	ctaB2 BSU14880	Bacillus subtilis (strain 168)	2.5.1.141	33,946		BSU14880
Q45064	PLSY_BACSU	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	plsY yneS BSU18070	Bacillus subtilis (strain 168)	2.3.1.275	20,966		BSU18070
P26908	RL21_BACSU	50S ribosomal protein L21 (BL20)	rplU BSU27960	Bacillus subtilis (strain 168)		11,275	3J3V;3J3W;3J9W;5NJT;6HA1;6HA8;6HTQ;6PPF;6PPK;6PVK;6TNN;6TPQ;7AQC;7AQD;7AS8;7AS9;7O5B;7OPE;7QV1;7QV2;7QV3;7SAE;	BSU27960
P54541	PCCB_BACSU	Putative propionyl-CoA carboxylase beta chain (PCCase) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase)	yqjD BSU23920	Bacillus subtilis (strain 168)	6.4.1.3	55,475		BSU23920
P96692	MHQN_BACSU	Putative NAD(P)H nitroreductase MhqN (EC 1.-.-.-)	mhqN ydfN BSU05480	Bacillus subtilis (strain 168)	1.-.-.-	23,559	3BEM;	BSU05480
O34896	UXUB_BACSU	Uncharacterized oxidoreductase UxuB (EC 1.-.-.-)	uxuB yjmF BSU12350	Bacillus subtilis (strain 168)	1.-.-.-	29,481		BSU12350
P94534	GLCF_BACSU	Probable glycolate oxidase iron-sulfur subunit (EC 1.1.99.14) (Glycolate dehydrogenase subunit GlcF)	glcF ysfD BSU28690	Bacillus subtilis (strain 168)	1.1.99.14	49,205		BSU28690
O34944	PEPVL_BACSU	Putative dipeptidase YtjP (EC 3.4.13.-)	ytjP BSU29980	Bacillus subtilis (strain 168)	3.4.13.-	51,053		BSU29980
O34317	YODS_BACSU	Probable coenzyme A transferase subunit alpha (EC 2.8.3.-) (Probable CoA-transferase subunit alpha)	yodS yokN BSU19730	Bacillus subtilis (strain 168)	2.8.3.-	24,411		BSU19730
O31982	BLYA_BACSU	N-acetylmuramoyl-L-alanine amidase BlyA (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)	blyA yomC BSU21410	Bacillus subtilis (strain 168)	3.5.1.28	39,629		BSU21410
O34808	UXAC_BACSU	Uronate isomerase (EC 5.3.1.12) (Glucuronate isomerase) (Uronic isomerase)	uxaC yjmA BSU12300	Bacillus subtilis (strain 168)	5.3.1.12	54,612		BSU12300
P25052	TENA_BACSU	Aminopyrimidine aminohydrolase (EC 3.5.99.2) (4-amino-5-aminomethyl-2-methylpyrimidine hydrolase) (Thiaminase II)	tenA BSU11650	Bacillus subtilis (strain 168)	3.5.99.2	27,417	1TO9;1TYH;1YAF;1YAK;2QCX;	BSU11650
O34580	PCRA_BACSU	ATP-dependent DNA helicase PcrA (EC 3.6.4.12)	pcrA yerF BSU06610	Bacillus subtilis (strain 168)	3.6.4.12	83,555		BSU06610
O34718	IOLT_BACSU	Major myo-inositol transporter IolT	iolT ydjK BSU06230	Bacillus subtilis (strain 168)		51,633		BSU06230
O34442	MGTE_BACSU	Magnesium transporter MgtE	mgtE ykoK BSU13300	Bacillus subtilis (strain 168)		50,844		BSU13300
P42954	TAGH_BACSU	Teichoic acids export ATP-binding protein TagH (EC 7.5.2.4) (Teichoic acid-transporting ATPase)	tagH BSU35700	Bacillus subtilis (strain 168)	7.5.2.4	59,244	7DD0;	BSU35700
P23715	ARGC_BACSU	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	argC BSU11190	Bacillus subtilis (strain 168)	1.2.1.38	37,960		BSU11190
Q45462	OPUBC_BACSU	Choline-binding protein	opuBC proX BSU33710	Bacillus subtilis (strain 168)		34,401	3R6U;5NXY;6EYG;6EYH;6EYL;6EYQ;	BSU33710
P42100	GLXK_BACSU	Glycerate kinase (EC 2.7.1.31)	glxK yxaA BSU40040 S14A	Bacillus subtilis (strain 168)	2.7.1.31	39,400		BSU40040
O34354	UXAB_BACSU	Altronate oxidoreductase (EC 1.1.1.58) (Tagaturonate dehydrogenase) (Tagaturonate reductase)	uxaB yjmI BSU12380	Bacillus subtilis (strain 168)	1.1.1.58	55,361		BSU12380
P80869	DHG2_BACSU	Glucose 1-dehydrogenase 2 (EC 1.1.1.47) (GLCDH-II) (GDH-II) (General stress protein 74) (GSP74)	ycdF BSU02830	Bacillus subtilis (strain 168)	1.1.1.47	27,776		BSU02830
P23129	ODO1_BACSU	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	odhA citK BSU19370	Bacillus subtilis (strain 168)	1.2.4.2	106,278		BSU19370
O35024	MNTC_BACSU	Manganese transport system membrane protein MntC	mntC ytgC BSU30750	Bacillus subtilis (strain 168)		47,945		BSU30750
O06983	YVDA_BACSU	Putative carbonic anhydrase YvdA (EC 4.2.1.1) (Carbonate dehydratase)	yvdA BSU34670	Bacillus subtilis (strain 168)	4.2.1.1	21,714		BSU34670
P32396	CPFC_BACSU	Coproporphyrin III ferrochelatase (EC 4.99.1.9) (Water-soluble ferrochelatase)	cpfC hemF hemH BSU10130	Bacillus subtilis (strain 168)	4.99.1.9	35,348	1AK1;1C1H;1C9E;1DOZ;1LD3;1N0I;2AC2;2AC4;2H1V;2H1W;2HK6;2Q2N;2Q2O;2Q3J;3GOQ;3M4Z;	BSU10130
P18156	GLPF_BACSU	Glycerol uptake facilitator protein	glpF BSU09280	Bacillus subtilis (strain 168)		28,735		BSU09280
P46918	GGAB_BACSU	Minor teichoic acid biosynthesis protein GgaB	ggaB BSU35680	Bacillus subtilis (strain 168)		107,155		BSU35680
P54455	NADD_BACSU	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	nadD yqeJ BSU25640	Bacillus subtilis (strain 168)	2.7.7.18	22,157	1KAM;1KAQ;	BSU25640
O34734	SULP_BACSU	Sulfate permease CysP	cysP ylnA BSU15580	Bacillus subtilis (strain 168)		36,836		BSU15580
O05511	MANA2_BACSU	Probable mannose-6-phosphate isomerase GmuF (EC 5.3.1.8) (Glucomannan utilization protein F) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	gmuF ydhS BSU05870	Bacillus subtilis (strain 168)	5.3.1.8	35,492		BSU05870
O34931	TCYM_BACSU	L-cystine transport system permease protein TcyM	tcyM ytmM BSU29350	Bacillus subtilis (strain 168)		25,593		BSU29350
P21469	RS7_BACSU	30S ribosomal protein S7 (BS7)	rpsG BSU01110	Bacillus subtilis (strain 168)		17,883	3J9W;5NJT;6HA1;6HA8;6HTQ;7O5B;7QV1;7QV2;7QV3;	BSU01110
P45744	DHBC_BACSU	Isochorismate synthase DhbC (EC 5.4.4.2) (Isochorismate mutase)	dhbC BSU31990	Bacillus subtilis (strain 168)	5.4.4.2	43,436		BSU31990
